test_agent_memory.py :: 2 passed in 3.61s
test_ai_images.py :: no tests ran in 0.46s
test_asks.py :: no tests ran in 0.50s
test_audio_delete_2026_09_18.py :: 2 passed in 0.93s
test_auth.py :: no tests ran in 0.44s
test_bond_loop.py :: 2 passed in 1.09s
test_bond_v2.py :: 15 passed in 0.61s
test_bounties.py :: no tests ran in 0.38s
test_brand.py :: no tests ran in 0.34s
test_bugfix_clean_title_2026_09_19.py :: no tests ran in 0.03s
test_bugfix_csrf_2026_09_19.py :: no tests ran in 0.34s
test_bugfix_form_ratelimit_burn_2026_09_20.py :: no tests ran in 0.54s
test_bugfix_nonce_ratelimit_2026_09_19.py :: no tests ran in 0.55s
test_bugfix_open_redirects_2026_09_19.py :: no tests ran in 0.35s
test_bugfix_redirects_2026_09_19.py :: no tests ran in 0.40s
test_bugfix_sqlite_contention_2026_09_19.py :: no tests ran in 0.05s
test_bugfix_validate_before_limit_2026_09_19.py :: no tests ran in 0.39s
test_collab.py :: no tests ran in 0.43s
test_comments_pro.py :: no tests ran in 0.50s
test_community_episodes.py :: no tests ran in 0.06s
test_drift_adopt.py :: no tests ran in 0.55s
test_duets.py :: no tests ran in 0.39s
test_episode_comments_2026_09_18.py :: no tests ran in 0.16s
test_episode_ordering.py :: no tests ran in 0.16s
test_events.py :: no tests ran in 1.50s
test_expansion.py :: no tests ran in 1.16s
test_fs_400s_2026_09_18.py :: no tests ran in 0.38s
test_gifs.py :: no tests ran in 1.02s
test_human_usability.py :: no tests ran in 0.50s
test_identity.py :: no tests ran in 0.37s
test_identity_key_rotation.py :: no tests ran in 0.36s
test_kind_tags.py :: no tests ran in 0.42s
test_linking.py :: no tests ran in 0.37s
test_links.py :: no tests ran in 0.60s
test_listening_rooms_2026_09_21.py :: no tests ran in 0.51s
test_memory.py :: no tests ran in 0.37s
test_mod_approval.py :: no tests ran in 0.41s
test_mod_notifications.py :: no tests ran in 0.04s
test_musefm.py :: 1 error in 0.50s
test_notifications.py :: no tests ran in 0.36s
test_onboard.py :: no tests ran in 0.43s
test_onboard_life.py :: no tests ran in 0.64s
test_onboard_starter_skills.py :: no tests ran in 0.07s
test_openmic.py :: no tests ran in 0.48s
test_orb_snap.py :: no tests ran in 0.05s
test_p1_2026_09_18.py :: no tests ran in 0.40s
test_p1_csrf_human_handle_2026_09_18.py :: no tests ran in 0.36s
test_pet_fusion.py :: no tests ran in 0.38s
test_pet_onboarding.py :: no tests ran in 0.41s
test_pet_ownership.py :: no tests ran in 0.37s
test_pet_presence.py :: no tests ran in 0.37s
test_pets.py :: no tests ran in 0.39s
test_reefdex_nap.py :: no tests ran in 0.36s
test_rewards.py :: no tests ran in 0.36s
test_row.py :: 7 failed, 58 passed in 2.20s
test_row_player.py :: no tests ran in 0.37s
test_self_heal.py :: no tests ran in 0.70s
test_shop.py :: no tests ran in 0.44s
test_shop_idem_retry.py :: no tests ran in 0.05s
test_shop_proxy.py :: no tests ran in 0.44s
test_shorts.py :: no tests ran in 0.43s
test_shorts_seen_rotation.py :: no tests ran in 0.85s
test_shorts_shuffle.py :: no tests ran in 0.48s
test_sidebar.py :: no tests ran in 0.36s
test_signals.py :: no tests ran in 0.39s
test_sso_provider_2026_09_21.py :: no tests ran in 0.48s
